persona_id,idx,source_config,persona_text,llm_label,llm_confidence,llm_reason,shard_id,age_heuristic,age
persona::173367,173367,persona,A high school student interested in pursuing a career in social work and looks up to the retired social worker as a role model,yes,100,Persona is explicitly described as a high school student,0,16,16
persona::177910,177910,persona,"A high school basketball star with a promising future, recently sidetracked by a torn ACL",yes,100,Persona is explicitly described as a high school basketball star,0,16,16
persona::181443,181443,persona,A shy but brilliant high school student known for their deep thoughts on global economic issues,yes,100,Persona is explicitly described as a high school student,0,16,16
persona::187961,187961,persona,"The role I am assuming here is that of a high school anime club president, who is an ardent fan of the “Demon Slayer: Kimetsu no Yaiba” manga and anime series.",yes,100,Persona is described as a high school anime club president,0,16,16
persona::190943,190943,persona,A curious high school student seeking guidance for their science fair project,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::195254,195254,persona,A high school student curious about the history of their own school,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::6886,6886,persona,A high school debate team captain passionate about social issues and largely indifferent to trends,yes,100,Persona is explicitly described as a high school debate team captain,1,16,16
persona::8412,8412,persona,A high school student struggling with remote learning and in need of extra support and guidance,yes,100,Explicitly described as a high school student,1,16,16
persona::16213,16213,persona,A high school student exploring their own cultural identity through the exhibited art,yes,100,Persona is explicitly described as a high school student,1,16,16
persona::17688,17688,persona,A high school student passionate about creating their own video games using XNA,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::18602,18602,persona,A high school student who enjoys retro gaming and wants to learn the art of electronic repair,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::20547,20547,persona,A Czech high school student interested in history and music,yes,100,Persona is explicitly described as a high school student,1,16,16
persona::22378,22378,persona,A curious high school student eager to learn about the historical significance of each item,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::24057,24057,persona,A high school student who is always broke,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::27925,27925,persona,A high school senior who leads the peer support group and aspires to become a psychologist,yes,100,Persona is explicitly described as a high school senior,1,16,16
persona::29151,29151,persona,A high school student who is passionate about paleontology and looks up to scientists like Hou Xian-guang,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::33324,33324,persona,A curious high school student researching names for a sociology project.,yes,100,Explicitly described as a high school student,1,16,16
persona::35203,35203,persona,A high school student in Peru who aspires to become a renowned writer like Nivardo Cordova Salinas.,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::36743,36743,persona,A local high school soccer player curious about the differences in play style and tactics,yes,100,Persona is described as a high school soccer player,1,16,16
persona::40166,40166,persona,A part-time high school student who enjoys learning about different tools and materials,yes,100,Persona is explicitly described as a high school student,1,16,16
persona::43383,43383,persona,A high school sophomore who is part of a research project on integrating technology in the classroom,yes,100,Persona is explicitly described as a high school sophomore,1,16,16
persona::46594,46594,persona,I am a curious high school student with a strong interest in biology and a penchant for watching medical dramas.,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::53426,53426,persona,A high school junior preparing to participate in the National Geographic GeoBee,yes,100,Persona is explicitly described as a high school junior,1,16,16
persona::56630,56630,persona,A high school classmate of Parsa who is quite proud of him,yes,100,explicitly described as a high school classmate,1,16,16
persona::68053,68053,persona,A high school student who started a theater club at their school to create awareness about social justice,yes,100,Persona is explicitly described as a high school student,1,16,16
persona::72261,72261,persona,a 15-year-old high school student who loves anime more than anything else,yes,100,explicitly described as a high school student,1,15,15
persona::73767,73767,persona,A high school track athlete who has practiced at the New Armory before,yes,100,Described as a high school track athlete,1,16,16
persona::76291,76291,persona,A high school student always curious about the technology used in the library's digitized system,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::80022,80022,persona,A high school student struggling with psychology who turns to the psychology student for help,yes,100,Persona is explicitly described as a high school student,1,16,16
persona::83200,83200,persona,A high school student who aspires to become a board game designer and looks up to the vlogger for inspiration,yes,100,Persona is explicitly described as a high school student,1,16,16
persona::84597,84597,persona,A high school student who used to hate Shakespeare but now finds joy and meaning in his works thanks to their educator's innovative teaching approach,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::89545,89545,persona,A high school student looking for affordable online resources to supplement their education,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::95038,95038,persona,A high school sophomore navigating the challenges of adolescence and seeking emotional support,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::103657,103657,persona,An astronomy club president at a local high school,yes,100,Persona is described as at a local high school,1,16,16
persona::106376,106376,persona,A high school student considering majoring in Educational Psychology,yes,100,Persona is explicitly described as a high school student,1,16,16
persona::108052,108052,persona,A high school student with a passion for engineering and a project idea to harness solar energy,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::110531,110531,persona,A high school student who finds inspiration in the blogger's mathematical explanations and aspires to pursue a career in mathematics,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::117742,117742,persona,"A high school student with a passion for coffee, seeking guidance and advice on pursuing a career in the industry",yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::120767,120767,persona,"A high school student with a passion for innovation and startups, looking to shadow their entrepreneurial relative for a day",yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::122753,122753,persona,A high school debate team captain seeking advice on persuasive speaking techniques,yes,100,Persona is a high school debate team captain,1,16,16
persona::125126,125126,persona,A high school student who excels in online classes and aspires to become an online course instructor,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::128699,128699,persona,"A high school student from Seward, Nebraska who is interested in politics.",yes,100,Persona is explicitly described as a high school student,1,16,16
persona::130279,130279,persona,An eager high school student balancing his love for high jump with his academics,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::139517,139517,persona,A high school student who looks up to them as a role model in the tech industry,yes,100,Explicitly described as a high school student,1,16,16
persona::141829,141829,persona,A promising high school basketball player striving to live up to his parent's expectations,yes,100,Explicitly described as a high school student,1,16,16
persona::146294,146294,persona,A high school student who is eager to learn and discover their passion through vocational education programs,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::149743,149743,persona,A high school student getting ready for the national robotics competition,yes,100,Explicitly described as a high school student,1,16,16
persona::151235,151235,persona,A high school student excelling in Physics and dreaming of following in his grandparent's footsteps,yes,100,Explicitly described as a high school student,1,16,16
persona::152267,152267,persona,a high school women's basketball player from the competitor team of Thurgood Marshall High School,yes,100,Described as a high school basketball player,1,16,16
persona::153985,153985,persona,A high school student from Suriname interested in the country's political history.,yes,100,Persona is explicitly described as a high school student,1,16,16
persona::155259,155259,persona,"A high school student participating in the research study, providing valuable insights and feedback on the teaching methods",yes,100,Explicitly described as a high school student,1,16,16
persona::157065,157065,persona,"A slightly shy, awkward high school student who dreams of running away to the circus",yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::162512,162512,persona,A high school student who is part of a folkloric dance troupe to connect with their Mexican heritage,yes,100,Persona is explicitly described as a high school student,1,16,16
persona::165506,165506,persona,A high school student who shares their interest in sneakers and often engages in debates about the best brands and styles,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::170909,170909,persona,A keen competitor and 12th grade student participating in the Alabama Scholastic Competition Association (ASCA) District High School Scholars Bowl,yes,100,12th grade student participating in a high school competition,1,16,16
persona::172067,172067,persona,A high school student seeking guidance on how to start their own tech blog and improve their coding skills,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::179745,179745,persona,A high school student looking for hands-on work experience in the field,yes,100,Explicitly describes themselves as a high school student,1,16,16
persona::186227,186227,persona,a high school classmate who was part of the same swim team as Florianne Bultje,yes,100,explicitly mentioned as a high school classmate,1,16,16
persona::189777,189777,persona,A high school student who looks up to them and seeks guidance on how to get involved in community service and emergency response,yes,100,Persona is explicitly described as a high school student,1,16,16
persona::190967,190967,persona,A high school student who is struggling with depression and contemplating dropping out of school,yes,100,Persona explicitly describes themselves as a high school student,1,16,16
persona::192615,192615,persona,"A high school girl with a natural talent for physics, but lacks confidence to pursue it further",yes,100,Persona explicitly describes herself as a high school girl,1,16,16
persona::193901,193901,persona,"A high schooler struggling with traditional teaching methods, seeking personalized learning experiences",yes,100,Persona explicitly describes themselves as a 'high schooler',1,16,16
persona::198252,198252,persona,A high school student who aspires to become a pilot and listens intently to the colonel's stories for inspiration,yes,100,Persona is explicitly described as a high school student,1,16,16
persona::199507,199507,persona,a nervous Chilean high school student who has been assigned to present about local species,yes,100,explicitly described as a high school student,1,16,16
persona::447,447,persona,A politically engaged high school student in Ireland,yes,100,explicitly described as a high school student,2,16,16
persona::2090,2090,persona,A high school student who excels in social studies and is preparing for a career in civil service,yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::6935,6935,persona,a bored high school student who is forced to do his English assignments.,yes,100,explicitly described as a high school student,2,16,16
persona::8622,8622,persona,"A younger sibling who is a star player for a high school football team, seeking advice on how to make it to the next level",yes,100,Persona is a high school football team player,2,16,16
persona::11093,11093,persona,a curious high school student who only knows the basic concepts of atomic and molecular structures and behaviors.,yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::15064,15064,persona,a high school student who barely passed biology,yes,100,explicitly described as a high school student,2,16,16
persona::22419,22419,persona,A curious high school student fascinated by the stories of the Cold War,yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::28137,28137,persona,"A high school sophomore interested in both biology and math, benefiting from the interdisciplinary lessons",yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::29154,29154,persona,A talented high school baseball player with dreams of playing at the professional level,yes,100,Persona is explicitly described as a high school student,2,16,16
persona::30882,30882,persona,A curious high school student who assists in conducting and documenting their visual experiments,yes,100,Persona is explicitly described as a high school student,2,16,16
persona::32217,32217,persona,a balky high school student who is bored with brands but likes sports—particularly track and field events.,yes,100,Persona is explicitly described as a high school student,2,16,16
persona::41653,41653,persona,A high school student who is the president of the school's anti-drug coalition,yes,100,Persona is explicitly described as a high school student,2,16,16
persona::45458,45458,persona,"I am a Barbadian high school student deeply passionate about dance and choreography, and I am proud of my heritage and cultural icons.",yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::49867,49867,persona,A high school football player looking to enhance their endurance and agility on the field,yes,100,Persona is explicitly described as a high school football player,2,16,16
persona::53494,53494,persona,A high school student interested in programming who aspires to develop their own compiler one day,yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::58587,58587,persona,a close high school friend of Barb,yes,90,described as a high school friend,2,16,16
persona::61299,61299,persona,A young girl in a high school literature class who is tasked with preparing a biographical report on a prominent woman from literary history.,yes,100,Persona is explicitly described as being in a high school class,2,16,16
persona::64347,64347,persona,A high school senior in Pennsylvania with an aspiration to become a materials scientist.,yes,100,Persona is explicitly described as a high school senior,2,16,16
persona::65692,65692,persona,A group of high school students who have successfully launched their own businesses and serve as role models for others,yes,100,Explicitly described as high school students,2,16,16
persona::66923,66923,persona,A high school student who looks forward to the gamer's content after finishing homework,yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::68148,68148,persona,"A high school student aspiring to become a professional programmer, inspired by their favorite eSports gamer",yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::69362,69362,persona,A high school robotics club member with a knack for explaining complex ideas simply,yes,100,Persona is a high school robotics club member,2,16,16
persona::71127,71127,persona,a bored high school student who loves to daydream,yes,100,explicitly described as a high school student,2,16,16
persona::72336,72336,persona,I am a Japanese high school student who aspires to become a professional soccer player.,yes,100,Persona explicitly states they are a high school student,2,16,16
persona::75392,75392,persona,A high school debate team captain determined to win the state championship,yes,100,Persona is explicitly described as a high school student,2,16,16
persona::76373,76373,persona,A high school student using the YouTube channel as a supplemental resource to improve their math skills,yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::77648,77648,persona,An openly gay high school student striving to create a safe and accepting environment in their school community,yes,100,Persona is explicitly described as a high school student,2,16,16
persona::80132,80132,persona,A high school quarterback who aspires to be as successful as Cam Newton,yes,100,Persona is explicitly described as a high school quarterback,2,16,16
persona::82083,82083,persona,A high school student who admires strong women role models and looks up to fellow Latinas.,yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::86886,86886,persona,A high school student who uses fanfiction writing as a medium to cope with her social anxiety,yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::91574,91574,persona,A high school senior passionate about environmental conservation and seeking advice on applying to environmental science programs,yes,100,Persona is described as a high school senior,2,16,16
persona::97359,97359,persona,A cooperative teenager who assists with household chores while focusing on his own high school workload,yes,100,Persona is described as focusing on their own high school workload,2,16,16
persona::104734,104734,persona,A high school student preparing for a debate competition and seeking guidance from the retired judge,yes,100,Explicitly described as a high school student,2,16,16
persona::110637,110637,persona,"A high school student living in a rural area, committed to taking advantage of any educational opportunity",yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::112391,112391,persona,an Oyster Bay High School student who is a proud member of the chess club and has little interest in any sports,yes,100,Explicitly mentions being a high school student,2,16,16
persona::114327,114327,persona,"A high school student with a passion for genealogy and family history, seeking guidance on utilizing online research resources",yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::117860,117860,persona,I am a bored high school student who really doesn't care about microorganisms and has to write a report on Malawimonads.,yes,100,Persona explicitly states they are a high school student,2,16,16
persona::119468,119468,persona,An aspiring American high school football player from Quincy hoping to make it into the professional leagues,yes,100,Persona is described as an American high school football player,2,16,16
persona::120933,120933,persona,"An affluent center from a neighboring high school, boasting state-of-the-art training facilities and several scholarships",yes,90,described as being from a high school,2,16,16
persona::128701,128701,persona,A high school A/V club president with aspirations of becoming a film director,yes,100,Persona is described as a high school A/V club president,2,16,16
persona::141832,141832,persona,A high school student who learns about AAVE from their elder and incorporates it into their poetry,yes,100,Persona is explicitly described as a high school student,2,16,16
persona::142960,142960,persona,A high school junior eager to learn and participate in historical reenactments for extra credit,yes,100,Persona explicitly describes themselves as a high school junior,2,16,16
persona::144493,144493,persona,"A high school varsity baseball player who has excelled in the sport and acts as a mentor to the Little League player, providing guidance on skills and strategies.",yes,100,Persona is described as a high school varsity baseball player,2,16,16
persona::146335,146335,persona,A high school student looking for personalized tutoring in math and science subjects,yes,100,Explicitly describes themselves as a high school student,2,16,16
persona::151298,151298,persona,A high school student who dreams of embarking on epic adventures but is limited by their age and resources,yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::154129,154129,persona,A quiet and reserved high school student who often seeks comfort and guidance from the nurse,yes,100,Persona is explicitly described as a high school student,2,16,16
persona::155368,155368,persona,A fellow high school student who has attended a military-style summer camp and can offer insights on physical training,yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::157169,157169,persona,A curious and musically inclined high schooler who sees the connection between science and music,yes,100,Persona explicitly describes themselves as a high schooler,2,16,16
persona::159282,159282,persona,A high school student who has started a YouTube channel to make science experiments based on principles learned from their mentor,yes,100,Persona is explicitly described as a high school student,2,16,16
persona::160781,160781,persona,A high school student from a different state who shares a deep interest in the Revolutionary era and seeks guidance from the librarian for their research project,yes,100,Persona is explicitly described as a high school student,2,16,16
persona::171053,171053,persona,A high school student fascinated by chemistry and the history of photography in China.,yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::172069,172069,persona,a high school classmate of Elliot Graham who felt secretly jealous of his accomplishments,yes,100,explicitly described as a high school classmate,2,16,16
persona::173446,173446,persona,A high school science fair champion who experiments with plant genetics and tutors younger students in biology,yes,100,Persona is described as a high school science fair champion,2,16,16
persona::176055,176055,persona,A high school student who struggled with reading comprehension and found solace in art,yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::188192,188192,persona,A linebacker from a competing high school who is equally determined to win a scholarship and succeed,yes,100,Persona is described as a high school student,2,16,16
persona::191017,191017,persona,A teenager who enjoys eavesdropping on conversations to gather information for their high school gossip blog,yes,100,"Persona mentions running a high school gossip blog, indicating they are a current high school student",2,16,16
persona::192700,192700,persona,A high school student interested in pursuing a career in cloud computing and seeking guidance,yes,100,Persona explicitly describes themselves as a high school student,2,16,16
persona::194004,194004,persona,A curious and determined high school junior with aspirations of becoming a doctor,yes,100,Persona is explicitly described as a high school junior,2,16,16
persona::197213,197213,persona,An Asian-American high school student who is the president of the social justice club at school.,yes,100,Persona is explicitly described as a high school student,2,16,16
persona::9684,9684,persona,a Vietnamese American high school student who loves cinema,yes,100,explicitly described as a high school student,3,16,16
persona::11102,11102,persona,"Elin Williams, a high school student interested in pursuing a career in epidemiology",yes,100,Persona is explicitly described as a high school student,3,16,16
persona::15122,15122,persona,"A high school student with dreams of playing professional volleyball, looking for advice on training and career path",yes,100,Persona explicitly describes themselves as a high school student,3,16,16
persona::18919,18919,persona,A teenage high school student who is a huge K-pop fan and follows multiple bands religiously,yes,100,Persona is explicitly described as a high school student,3,16,16
persona::26439,26439,persona,"A high school student passionate about theater, who benefits from the politician's advocacy by having access to better production equipment and facilities",yes,100,explicitly described as a high school student,3,16,16
persona::29228,29228,persona,A high school student who eagerly waits for their older sibling's reviews to decide on their next read,yes,100,Persona explicitly describes themselves as a high school student,3,16,16
persona::30893,30893,persona,A high school student who volunteers alongside their grandparent and learns about the importance of giving back to the community,yes,100,Persona is explicitly described as a high school student,3,16,16
persona::32233,32233,persona,A high school student who dreams of becoming an automotive journalist,yes,100,Persona explicitly describes themselves as a high school student,3,16,16
persona::37470,37470,persona,A high school student facing discrimination based on their religious beliefs in a religiously-affiliated school,yes,100,Persona is explicitly described as a high school student,3,16,16
persona::40249,40249,persona,"A high school student with a passion for biology, participating in the local Future Farmers of America club",yes,100,Explicitly described as a high school student,3,16,16
persona::41781,41781,persona,A high school student who dreams of one day walking on the moon,yes,100,Persona explicitly describes themselves as a high school student,3,16,16
persona::44074,44074,persona,A fellow high school student who is a talented artist and often seeks the high schooler's input on color theory and composition,yes,100,explicitly described as a high school student,3,16,16
persona::45918,45918,persona,"A high school basketball prodigy who tends to push his limits, but often gets injured due to overexertion",yes,100,Described as a high school basketball prodigy,3,16,16
persona::50009,50009,persona,A curious high school senior from Canada seriously considering universities overseas for study.,yes,100,Persona is described as a high school senior,3,16,16
persona::51468,51468,persona,A fellow high school student who is interested in starting a digital marketing club,yes,100,Persona explicitly describes themselves as a high school student,3,16,16
persona::56985,56985,persona,A rebellious teenager who's studying in high school and is known for breaking school rules frequently.,yes,100,Persona is explicitly described as studying in high school,3,16,16
persona::65697,65697,persona,A popular high school athlete who often dismisses the importance of history and academics in favor of physical accomplishment.,yes,100,Persona is explicitly described as a high school athlete,3,16,16
persona::76490,76490,persona,A high school lobbied in local government for better recycling policies in their school district,yes,100,Persona is described as a high school student actively participating in their school district,3,16,16
persona::78884,78884,persona,A curious high school student who is fascinated by World War II aviation and seeks the teacher's expertise,yes,100,Persona explicitly describes themselves as a high school student,3,16,16
persona::84953,84953,persona,A high school student seeking book recommendations to improve their vocabulary and comprehension,yes,100,Persona explicitly describes themselves as a high school student,3,16,16
persona::89672,89672,persona,A high school student aiming to improve their scores on standardized tests,yes,100,Persona explicitly describes themselves as a high school student,3,16,16
persona::95833,95833,persona,A graduating high school senior who wants professional senior portraits to commemorate their milestone,yes,100,Explicitly described as a high school senior,3,16,16
persona::99259,99259,persona,A high school sophomore who plays on the varsity basketball team and is passionate about literature,yes,100,Persona explicitly describes themselves as a high school student,3,16,16
persona::103909,103909,persona,A struggling high school student who is grateful for the educator's patience and guidance,yes,100,Explicitly describes themselves as a high school student,3,16,16
persona::122838,122838,persona,A shy high school student with a passion for classic American muscle cars,yes,100,Persona explicitly describes themselves as a high school student,3,16,16
persona::125472,125472,persona,A Texas high school football player,yes,100,explicitly described as a high school student,3,16,16
persona::126927,126927,persona,A high school student who runs a successful blog focused on senior year tips,yes,100,Persona explicitly describes themselves as a high school student,3,16,16
persona::130447,130447,persona,A high school student organizing a food drive to help alleviate hunger in their community,yes,100,Persona is explicitly described as a high school student,3,16,16
persona::138276,138276,persona,A high school student obsessed with geography and dreamt of being a culinary critic,yes,100,Persona is explicitly described as a high school student,3,16,16
persona::139908,139908,persona,An older sibling who is a drum major in a high school marching band and provides guidance and support to pursue their dream,yes,100,drum major in a high school marching band,3,16,16
persona::141105,141105,persona,I am a curious high school student from Hungary who enjoys researching my country's notable figures and sharing fun facts with my friends.,yes,100,Persona explicitly states they are a high school student,3,16,16
persona::148309,148309,persona,an immunodeficient high school student in Australia,yes,100,explicitly described as a high school student,3,16,16
persona::152339,152339,persona,A high school student passionate about giving back to those who have served their country,yes,100,Explicitly describes themselves as a high school student,3,16,16
persona::166008,166008,persona,A high school student who discovers a passion for history through playing the educational games,yes,100,Persona is explicitly described as a high school student,3,16,16
