idx,regime,persona_text,subject,relation,object,num_triplets,num_unique_triplets,num_unique_subjects,num_unique_objects,num_unique_concepts,num_unique_relations,triplet_repetition_ratio,persona_num_tokens,triplets_per_100_tokens,sentiment_score,lexical_ttr,lexical_avg_word_len,graph_num_nodes,graph_num_edges,graph_avg_degree,graph_density,graph_num_components,graph_largest_component_size,graph_largest_component_ratio
7,secondary,A student at Mountain Logan Middle School (MLMS),princess; knight; princess,marries; rides_through; is_thankful_to,knight; forest; knight,3,3,2,2,3,3,0.0,8,37.5,0.0,1.0,4.875,3,3,1.3333333333333333,1.0,1,3,1.0
8,secondary,An ambitious 7th grade student who loves to learn but struggles with dyscalculia,knight; princess; dragon; dragon; princess; knight; knight,wants_to_marry; was thanked by; appears; kidnaps; was; married; was thanked by,princess; knight; young knight; princess; thankful; princess; princess,7,7,3,4,5,6,0.0,13,53.84615384615385,0.0,1.0,5.230769230769231,5,7,1.6,0.7,1,5,1.0
9,secondary,an Israeli student attending Stephen Lewis Secondary School,princess; princess; dragon; dragon; knight; knight; knight,is; marries; appeared; is_unfamiliar_to; rides; is; marries,thankful; knight; country; country; horse; young; princess,7,7,3,6,7,5,0.0,8,87.5,0.0,1.0,6.5,7,7,1.4285714285714286,0.3333333333333333,2,5,0.7142857142857143
11,secondary,A fellow middle school dancer who also wears braces and shares tips and advice on how to maintain oral hygiene and confidence,dragon; princess; princess; princess; knight; knight; knight; dragon; armor; knight,fights_for; is; thanks; marries; makes; is_married_to; hurries_after; fights_for; is; rescues,life; thankful; knight; knight; princess; princess; dragon; death; scorched; princess,10,10,4,7,8,8,0.0,22,45.45454545454545,0.0,0.9090909090909091,4.7272727272727275,8,10,1.5,0.35714285714285715,2,6,0.75
12,secondary,a 13-year-old middle school student who is neither particularly interested in poetry nor deeply versed on who Annelyse Gelman is.,young_knight; dragon; princess; princess,is_unfamiliar_with; is_unfamiliar_to; marries; is_thankful_to,dragon; young_knight; knight; knight,4,4,3,3,4,4,0.0,20,20.0,0.0,0.9090909090909091,4.863636363636363,4,4,1.0,0.6666666666666666,2,2,0.5
13,secondary,a South Korean middle school student who is a history nerd,princess; dragon; princess; princess; dragon,married; appeared; was thankful to; was; damaged,knight; country; knight; thankful; armor,5,5,2,4,6,5,0.0,11,45.45454545454545,0.0,0.9090909090909091,4.363636363636363,6,5,1.3333333333333333,0.3333333333333333,2,3,0.5
14,secondary,A bright and curious middle schooler struggling with reading comprehension,princess; princess; knight; armor; knight,is; married; rides_through; is; is,thankful; knight; forest; scorching; young,5,5,3,5,7,3,0.0,10,50.0,0.0,1.0,6.5,7,5,1.4285714285714286,0.23809523809523808,2,5,0.7142857142857143
15,secondary,A creative writing enthusiast in middle school who enjoys crafting stories and sometimes struggles with math homework,princess; knight; knight; dragon,married; rides_through; hurries_after; fights_for,knight; forest; dragon; death,4,4,3,4,5,4,0.0,17,23.52941176470588,0.0,1.0,5.9411764705882355,5,4,1.6,0.4,1,5,1.0
16,secondary,A keen middle school student working on a project about famous architects in history,country; knight; princess; knight,is_unfamiliar_to; kills; is_thankful_to; marries,knight; dragon; knight; princess,4,4,3,3,4,4,0.0,14,28.57142857142857,0.0,0.9285714285714286,5.071428571428571,4,4,1.5,0.6666666666666666,1,4,1.0
17,secondary,A middle school student who attends the coding workshops and looks up to the advocate as a role model,scorched_armor; princess; knight; dragon; princess; knight; knight,is_result_of; marries; wants_to_marry; appears; is_thankful_to; rescues; marries,scorch; knight; princess; young knight; knight; princess; princess,7,7,4,4,6,6,0.0,19,36.84210526315789,0.0,0.8947368421052632,4.368421052631579,6,7,1.0,0.4666666666666667,3,2,0.3333333333333333
18,secondary,A curious middle school student who loves snakes and researching animals on Wikipedia.,princess; princess; knight; knight; knight; armor; princess,is; marries; is; rides_through; hurries_after; is; is_thankful_to,thankful; knight; thankful; forest; dragon; scorched; knight,7,7,3,5,7,5,0.0,13,53.84615384615385,0.0,1.0,5.615384615384615,7,7,1.7142857142857142,0.3333333333333333,2,5,0.7142857142857143
19,secondary,A shy and quiet middle school student who is always grateful for the bus driver's kind gestures,knight; young knight; dragon; princess; knight; knight,was_unfamiliar_with; has; appeared; was; was; married,country; horse; country; thankful; thankful; princess,6,6,4,4,7,5,0.0,17,35.294117647058826,0.0,1.0,4.333333333333333,7,6,1.7142857142857142,0.2857142857142857,2,5,0.7142857142857143
20,secondary,A curious and science-minded middle school student who appreciates the nurse's informative and engaging presentations on health and wellness,princess; dragon; knight; princess; knight; knight,marries; kidnaps; hurries_after; feels; rescues; is_responsible_for,knight; princess; dragon; thankful; princess; princess,6,6,3,4,4,6,0.0,19,31.57894736842105,0.0,0.9047619047619048,5.714285714285714,4,6,2.0,1.0,1,4,1.0
21,secondary,An inquisitive middle school student joining the science club for the first time,princess; princess; knight; knight,married; was_thankful_to; fought_with; saved,knight; knight; dragon; princess,4,4,2,3,3,4,0.0,13,30.76923076923077,0.0,0.9230769230769231,5.230769230769231,3,4,1.3333333333333333,1.3333333333333333,1,3,1.0
22,secondary,A Japanese middle school student who is a big fan of Super Sentai.,princess; horse; dragon; knight; princess; princess; knight; knight,marries; is_used_by; fights_for; fights_for; shows_gratitude_to; is_thankful_to; marries; is_responsible_for,knight; young knight; death; death; knight; knight; princess; princess,8,8,4,4,6,6,0.0,13,61.53846153846154,0.0,0.9230769230769231,4.076923076923077,6,8,1.3333333333333333,0.5333333333333333,2,4,0.6666666666666666
23,secondary,A bright middle schooler who voraciously reads science fiction and conducts small experiments in their spare time,knight; princess; dragon; knight; princess; knight; princess,defeats; marries; kidnaps; kills; is_thankful_to; rescues; feels,dragon; knight; princess; dragon; knight; princess; thankful,7,7,3,4,4,7,0.0,17,41.17647058823529,0.0,1.0,5.705882352941177,4,7,2.0,1.1666666666666667,1,4,1.0
24,secondary,A precocious middle school student benefiting from the sibling's guidance and support,princess; princess; princess; knight,is; marries; is thankful to; hurries_after,thankful; knight; knight; dragon,4,4,2,3,4,4,0.0,12,33.33333333333333,0.0,1.0,5.615384615384615,4,4,1.5,0.6666666666666666,1,4,1.0
25,secondary,A middle school student interested in genetic genealogy and exploring their Irish heritage,princess; princess; princess; knight,is; marries; is thankful to; kills,thankful; knight; knight; dragon,4,4,2,3,4,4,0.0,13,30.76923076923077,0.0,1.0,6.0,4,4,1.5,0.6666666666666666,1,4,1.0
26,secondary,A middle school soccer player who is learning the importance of safety gear and fair play,princess; princess; princess; knight; knight; dragon; knight; knight,is; married; thanks; is; wants_to_free; appears_in; hurries_after; rescues,thankful; knight; knight; thankful; princess; forest; dragon; princess,8,8,3,5,5,7,0.0,16,50.0,0.0,1.0,4.625,5,8,2.0,0.8,1,5,1.0
27,secondary,Another middle school student who is also struggling with coding assignments and seeks collaboration with the middle school student,princess; princess; knight; knight; princess,is_thankful; married; fought; wants_to_free; was_thankful_to,true; knight; dragon; princess; knight,5,5,2,4,4,5,0.0,19,26.31578947368421,0.0,0.7894736842105263,5.947368421052632,4,5,1.5,0.8333333333333334,1,4,1.0
28,secondary,A middle school student excited about earth sciences and participating in the school's science fair with a volcano project,princess; princess; princess; dragon; knight; horse; armor; princess; knight,thankful; expresses_gratitude_towards; marries; appears; is_married_to; is ridden by; is; is_thankful_to; rescues,knight; knight; knight; young knight; princess; young knight; damaged; knight; princess,9,9,5,4,7,9,0.0,19,47.368421052631575,0.05,0.9,5.15,7,9,1.1428571428571428,0.42857142857142855,3,3,0.42857142857142855
29,secondary,A middle school band member interested in learning a variety of percussion instruments,knight; princess; knight; princess; princess; dragon; princess; knight,saves; marries; is_married_to; is; is_thankful_to; appears; feels; is_responsible_for,princess; knight; princess; beautiful; knight; forest; thankful; princess,8,8,3,5,6,8,0.0,13,61.53846153846154,0.0,0.9230769230769231,5.6923076923076925,6,8,1.3333333333333333,0.5333333333333333,2,4,0.6666666666666666
30,secondary,A shy middle schooler with a hidden knack for strategic thinking and chess,princess; princess; princess; knight; knight; knight; princess,is; thanks; marries; is; has_armor; kills; is,thankful; knight; knight; thankful; armor; dragon; beautiful,7,7,2,5,6,5,0.0,13,53.84615384615385,0.0,0.9230769230769231,4.769230769230769,6,7,2.0,0.4666666666666667,1,6,1.0
31,secondary,A middle school student who aspires to be a nurse and seeks guidance on how to start their journey,knight; princess; knight; knight; knight; knight; knight,rescued; felt; fights_for; wants_to_free; hurries_after; married; made_thankful,princess; thankful; life; princess; dragon; princess; princess,7,7,2,4,5,7,0.0,19,36.84210526315789,0.0,0.8947368421052632,4.2105263157894735,5,7,1.6,0.7,1,5,1.0
32,secondary,A middle school student who is obsessed with freshwater aquariums and often daydreams about discovering new species.,princess; life; knight; princess; knight; knight,married; opposed_to; wore; was; was; married,knight; death; armor; thankful; thankful; princess,6,6,3,5,6,4,0.0,17,35.294117647058826,0.0,1.0,5.823529411764706,6,6,1.6666666666666667,0.4,2,4,0.6666666666666666
33,secondary,A curious middle school student who loves playing strategy games based on ancient civilizations,princess; princess; knight; knight; knight,married; was_thankful_to; protected; fought_in_battle; was_thankful_to,knight; knight; life; dragon; princess,5,5,2,4,4,4,0.0,14,35.714285714285715,0.0,1.0,5.857142857142857,4,5,1.5,0.8333333333333334,1,4,1.0
34,secondary,"A middle schooler struggling with attention and behavior issues, benefiting from personalized interventions",princess; knight; knight; princess; knight,marries; rides_through; hurries_after; is_thankful_to; marries,knight; forest; dragon; knight; princess,5,5,2,4,4,4,0.0,13,38.46153846153847,0.0,1.0,7.230769230769231,4,5,1.5,0.8333333333333334,1,4,1.0
35,secondary,A middle school student who aspires to beat their grandparent in a game of chess,princess; princess; armor,married; was; is_damage,knight; thankful; scorched,3,3,2,3,5,3,0.0,15,20.0,0.0,0.9333333333333333,4.4,5,3,1.2,0.3,2,3,0.6
36,secondary,A curious middle school student who loves learning about aerodynamics and helps their grandparent with building model airplanes,princess; princess; knight; knight; dragon; princess; knight; knight; dragon; knight,is; marries; is; is_married_to; is_involved_in; is; is_involved_in; kills; fights; is,thankful; knight; thankful; princess; battle; knight; battle; dragon; knight; princess,10,10,3,5,5,6,0.0,18,55.55555555555556,0.0,1.0,6.111111111111111,5,10,2.4,1.0,1,5,1.0
37,secondary,a middle school student who loves reading books about animals and history,princess; princess; knight; princess; dragon,married; was thankful to; hurried after; was; fought for,knight; knight; dragon; thankful; life,5,5,3,4,5,5,0.0,12,41.66666666666667,0.0,1.0,5.166666666666667,5,5,1.6,0.5,1,5,1.0
38,secondary,"a secondary school student in Delta State, Nigeria",knight; princess; princess; country; horse,is thanked by; is; marries; is_unfamiliar_to; is_ridden_by,princess; thankful; knight; knight; young knight,5,5,4,4,6,5,0.0,8,62.5,0.0,1.0,5.25,6,5,1.3333333333333333,0.3333333333333333,2,4,0.6666666666666666
39,secondary,A middle school student who participated in building the arcade machine,knight; young knight; thankful; princess; princess; knight,fights_for; is_unfamiliar_with; describes; marries; is_thankful_toward; is_responsible_for,life; dragon; princess; knight; knight; princesss_freedom,6,6,4,5,7,6,0.0,11,54.54545454545454,0.0,1.0,5.545454545454546,7,6,1.4285714285714286,0.2857142857142857,2,5,0.7142857142857143
41,secondary,A middle school student currently working on a science fair project about the water cycle,princess; knight; dragon; princess; princess,thankful; suffers_damage_from; fights_for; married; is_thankful_to,knight; heat; life; knight; knight,5,5,3,3,5,5,0.0,15,33.33333333333333,0.0,0.9333333333333333,5.0,5,5,1.2,0.5,2,3,0.6
42,secondary,A fellow middle school student from another country who shares their experiences and challenges in expressing empathy,knight; princess; knight; dragon; knight; knight; knight,rescued; felt; wants_to_marry; appears_in; hurries_after; married; made_the_princess_feel,princess; thankful; princess; forest; dragon; princess; thankful,7,7,3,4,5,7,0.0,17,41.17647058823529,0.0,1.0,5.9411764705882355,5,7,2.0,0.7,1,5,1.0
43,secondary,Non-English speaking middle school student struggling to learn English,knight; knight; princess; princess; princess; princess,is; is_thankful_to; is_freed_by; is; marries; is_thankful_to,brave; princess; knight; thankful; knight; knight,6,6,2,4,4,4,0.0,9,66.66666666666666,0.0,0.9,6.1,4,6,1.5,1.0,1,4,1.0
44,secondary,"a middle school student who loves music, movies, and television shows.",princess; princess; knight; knight; princess; princess; knight,is; marries; is_married_to; has; freed_by; is_thankful_to; is_responsible_for,thankful; knight; princess; armor; knight; knight; princess,7,7,2,4,4,7,0.0,11,63.63636363636363,0.0,1.0,5.181818181818182,4,7,1.5,1.1666666666666667,1,4,1.0
45,secondary,A group of enthusiastic middle school students eager to learn about human evolution,princess; horse; armor; princess; knight; knight,marries; is ridden by; suffers_damage_from; is_thankful_to; marries; is_responsible_for,knight; young knight; fire; knight; princess; princess,6,6,4,4,6,5,0.0,13,46.15384615384615,0.0,1.0,5.461538461538462,6,6,1.0,0.4,3,2,0.3333333333333333
46,secondary,A curious middle school student from India studying for a history test,princess; princess; knight; princess; knight; dragon; knight,is; married; is; is; married; is; is,thankful; knight; thankful; beautiful; princess; unfamiliar; princess,7,7,3,5,6,2,0.0,12,58.333333333333336,0.0,0.9166666666666666,4.916666666666667,6,7,1.6666666666666667,0.4666666666666667,2,4,0.6666666666666666
47,secondary,a fourth-grade student at the Northeast Middle School,princess; princess; armor; princess; knight,marries; feeling; is_destroyed_by; is_thankful_to; wears,knight; thankful; fire; knight; armor,5,5,3,4,5,5,0.0,8,62.5,0.0,1.0,5.0,5,5,1.6,0.5,1,5,1.0
48,secondary,a middle school student who has just started learning history in school.,princess; knight; princess; dragon; knight; knight,thankful; wants_to_free; was_thankful_to; appeared; fought_with; married,knight; princess; knight; country; dragon; princess,6,6,3,4,4,6,0.0,12,50.0,0.0,0.9166666666666666,5.0,4,6,1.5,1.0,1,4,1.0
49,secondary,A middle schooler with severe allergies who relies on the school nurse for emergency care,knight; princess; princess; princess; knight; knight; forest; dragon; knight,helps; is; thanks; marries; is; wants_to_free; is; kidnaps; marries,princess; thankful; knight; knight; thankful; princess; dangerous; princess; princess,9,9,4,4,6,6,0.0,15,60.0,0.0,1.0,5.0,6,9,1.6666666666666667,0.6,2,4,0.6666666666666666
0,highschool,A high school senior whose graduation party is being meticulously planned by the event planner,knight; young; princess; princess; princess,hurries after; describes; married; is; is thankful to,dragon; knight; knight; thankful; knight,5,5,3,3,5,5,0.0,15,33.33333333333333,0.0,1.0,5.333333333333333,5,5,1.6,0.5,1,5,1.0
0,highschool,A high school student aiming to follow in their grandparent's footsteps by studying library science,princess; dragon; princess; princess,married; kidnapping; is_thankful; is_thankful_to,knight; princess; thankful; knight,4,4,2,3,4,4,0.0,15,26.666666666666668,0.0,1.0,5.25,4,4,1.5,0.6666666666666666,1,4,1.0
0,highschool,A high school student from another country who is inspired by the competition winner's success and seeks their advice,princess; unfamiliar; princess; knight; knight; thankful,is; describes; marries; frees; is; describes,thankful; knight; knight; princess; unfamiliar; princess,6,6,4,4,4,4,0.0,19,31.57894736842105,0.0,1.0,4.9,4,6,1.5,1.0,1,4,1.0
0,highschool,A high school student in Terry High School who's been fascinated by choir music since childhood.,knight; princess; forest; princess; knight; knight; knight; princess,is_thanked_by; is_thankful_to; contains; is; is_married_to; wants_to_free; is; marries,princess; knight; dragon; beautiful; princess; princess; thankful; knight,8,8,3,5,6,7,0.0,16,50.0,0.0,0.8823529411764706,4.647058823529412,6,8,1.3333333333333333,0.5333333333333333,2,4,0.6666666666666666
0,highschool,A high school student who assists in organizing events at the museum and finds inspiration in the sergeant's stories,princess; knight; dragon; knight,is; marries; appears; unfamiliar_with,thankful; princess; knight; dragon,4,4,3,4,4,4,0.0,19,21.052631578947366,0.0,0.9,4.85,4,4,1.5,0.6666666666666666,1,4,1.0
0,highschool,A high school student who feels conflicted about their parent's protective instincts,princess; princess; knight,marries; is_thankful_to; undergoes_damage,knight; knight; armor,3,3,2,2,3,3,0.0,12,25.0,0.0,1.0,5.538461538461538,3,3,1.3333333333333333,1.0,1,3,1.0
0,highschool,a Kiwi high school student considering local universities,thankful; princess; princess; battle,describes; is_thankful_to; married; involves,princess; knight; knight; knight,4,4,3,2,4,4,0.0,8,50.0,0.0,1.0,6.25,4,4,1.5,0.6666666666666666,1,4,1.0
1,highschool,A curious high school student who is fascinated by World War II aviation and seeks the teacher's expertise,princess; dragon; princess; knight; princess,is_thankful_to; fights_for; thankful; hurries_after; marries,knight; death; knight; dragon; knight,5,5,3,3,4,5,0.0,18,27.77777777777778,0.0,1.0,4.631578947368421,4,5,1.5,0.8333333333333334,1,4,1.0
1,highschool,A high school sophomore struggling to find effective study methods,knight; princess; princess; princess,is; is; marries; is thankful to,thankful; beautiful; knight; knight,4,4,2,3,4,3,0.0,10,40.0,0.0,1.0,5.7,4,4,1.5,0.6666666666666666,1,4,1.0
1,highschool,A high school student regularly visiting to gain knowledge about classical literature for school assignments,knight; princess; dragon; knight; princess,is_thankful_to; is_thankful_to; is; is; married,princess; knight; young; unfamiliar; knight,5,5,3,4,5,3,0.0,15,33.33333333333333,0.0,0.9333333333333333,6.266666666666667,5,5,1.2,0.5,2,3,0.6
1,highschool,A high school student who is passionate about paleontology and looks up to scientists like Hou Xian-guang,knight; princess; dragon; young knight; princess; princess,is; married; kidnaps; is; is; is thankful to,thankful; knight; princess; unfamiliar; thankful; knight,6,6,4,4,6,4,0.0,17,35.294117647058826,0.0,1.0,4.888888888888889,6,6,1.6666666666666667,0.4,2,4,0.6666666666666666
1,highschool,A high schooler actively involved in diversity and tolerance programs at their school,princess; knight; young knight; young; princess; dragon; knight,was; made; is; describes; married; kidnapping; was,thankful; princess; adventurous; knight; knight; princess; thankful,7,7,5,4,7,6,0.0,13,53.84615384615385,0.0,1.0,5.615384615384615,7,7,1.7142857142857142,0.3333333333333333,2,5,0.7142857142857143
1,highschool,An interested high school student who is doing research on Buddhism for a school project.,knight; knight; knight; princess; princess,is_responsible_for; hurries_after; helps; feels; is_thankful_to,princess_being_thankful; dragon; princess; thankful; knight,5,5,2,5,5,5,0.0,15,33.33333333333333,0.0,0.9333333333333333,4.933333333333334,5,5,1.6,0.5,1,5,1.0
1,highschool,I am a curious high school student from a non-English speaking country interested in studying Romance languages and considering the pathways such studies could offer.,knight; princess; princess; knight; princess,travels_through; feeling; marries; suffers_damage; is_thankful_to,forest; thankful; knight; armor; knight,5,5,2,4,5,5,0.0,25,20.0,0.0,0.9615384615384616,5.384615384615385,5,5,1.6,0.5,1,5,1.0
1,highschool,a high school student from El Cerrito High School,princess; knight; knight; young; dragon; princess,marries; is_thankful_for; describes; describes; fought against; is_thankful_to,knight; princess; thankful; knight; knight; knight,6,6,4,3,5,5,0.0,9,66.66666666666666,0.0,0.7777777777777778,4.555555555555555,5,6,1.6,0.6,1,5,1.0
2,highschool,A high school student determined to follow in their sibling's footsteps and get into Harvard,knight; princess; young knight; knight; princess,has_goal_of_attending; married; travels_through; is_thanked_by; is_thankful_to,Harvard; knight; forest; princess; knight,5,5,3,4,5,5,0.0,15,33.33333333333333,0.0,1.0,4.8125,5,5,1.2,0.5,2,3,0.6
2,highschool,A high school student fascinated by how equations and theories apply to real-life constructions,knight; princess; knight; dragon; knight; armor; princess,is_married_to; marries; rescues; kidnaps; is_responsible_for; is; feels,princess; knight; princess; princess; princess; scorched; thankful,7,7,4,4,6,7,0.0,14,50.0,0.0,1.0,5.4,6,7,1.3333333333333333,0.4666666666666667,2,4,0.6666666666666666
2,highschool,A high school student interested in learning about the history and evolution of local factories,knight; knight; princess; princess; princess; knight; armor,killed; was_thanked_by; was_thankful_to; is; married; wore; was_scorched_by,dragon; princess; knight; thankful; knight; armor; dragon,7,7,3,5,5,7,0.0,15,46.666666666666664,0.0,1.0,5.4,5,7,2.0,0.7,1,5,1.0
2,highschool,A high school student researching influential engineers for a class project,knight; knight; princess; knight; death; armor; princess; princess,is_rescuer_of; wins_battle_against; expresses_gratitude_toward; survives_battle; is_at_stake_in; is_completely_scorched; marries; is_thankful_to,princess; dragon; knight; battle; knight_vs_dragon_battle; knight; knight; knight,8,8,4,5,7,8,0.0,11,72.72727272727273,0.0,0.9090909090909091,5.909090909090909,7,8,1.4285714285714286,0.38095238095238093,2,5,0.7142857142857143
2,highschool,"A high school student studying hard for math exams, aiming to follow the family tradition into accounting",princess; princess; princess; young; knight; knight; knight; princess,thankful; marries; is_thankful_to; describes; is_unfamiliar_with; defeats; rescues; lives_in,knight; knight; knight; knight; country; dragon; princess; country,8,8,3,4,5,8,0.0,17,47.05882352941176,0.0,1.0,5.176470588235294,5,8,2.0,0.8,1,5,1.0
2,highschool,A high school student who often visits them for help with assignments and enjoys listening to their partner's jokes,princess; knight; knight; knight; knight; princess,married; freed; is_valiant_in; is_thankful_for; was_rescued_by; is_thankful_to,knight; princess; rescue; princess; princess; knight,6,6,2,3,3,6,0.0,19,31.57894736842105,0.0,1.0,4.8,3,6,1.3333333333333333,2.0,1,3,1.0
2,highschool,An Asian-American high school student who is the president of the social justice club at school.,knight; princess; young; princess,fights_for; is_thankful_towards; describes; marries,death; knight; knight; knight,4,4,3,2,4,4,0.0,16,25.0,0.0,0.8823529411764706,4.647058823529412,4,4,1.5,0.6666666666666666,1,4,1.0
2,highschool,an ambitious high school student planning to study oceanography,princess; princess; knight,is; married; freed,thankful; knight; princess,3,3,2,3,3,3,0.0,9,33.33333333333333,0.0,1.0,6.111111111111111,3,3,1.3333333333333333,1.0,1,3,1.0
3,highschool,A high school junior passionate about robotics and feels indifferent towards literature,princess; princess; armor; dragon; knight; dragon,is; married; sustained_damage; kidnaps; married; appears,thankful; knight; burn_damage; princess; princess; knight,6,6,4,4,6,5,0.0,12,50.0,0.0,1.0,6.333333333333333,6,6,1.6666666666666667,0.4,2,4,0.6666666666666666
3,highschool,A high school student interested in programming who aspires to develop their own compiler one day,knight; dragon; knight; princess; knight; princess; knight,defeats; appears; fights; marries; is_thankful_to; is_thankful_to; hurries_after,dragon; young knight; dragon; knight; princess; knight; dragon,7,7,3,4,4,6,0.0,16,43.75,0.0,1.0,5.125,4,7,1.5,1.1666666666666667,1,4,1.0
3,highschool,A high school student struggling with psychology who turns to the psychology student for help,forest; life; princess; princess; dragon; knight; knight,contains; opposed_by; is; married; appears; wants_to_free; is,forest path; death; thankful; knight; forest path; princess; thankful,7,7,5,5,8,6,0.0,15,46.666666666666664,0.0,0.8666666666666667,5.266666666666667,8,7,1.5,0.25,3,3,0.375
3,highschool,A high school student taking advanced courses in world history and cultural studies,princess; knight; princess; knight; young; knight; princess; knight,is; is_thankful_to; marries; rides_through; describes; marries; is_thankful_to; young,young; princess; knight; forest; princess; princess; knight; young,8,8,3,4,4,6,0.0,13,61.53846153846154,0.0,1.0,5.461538461538462,4,8,2.0,1.3333333333333333,1,4,1.0
3,highschool,a young Australian female high school student looking for feminist figures for her history project,thankful; knight; knight; princess; princess,describes; fights; is unfamiliar with; married; is,princess; dragon; country; knight; thankful,5,5,3,5,5,5,0.0,15,33.33333333333333,0.0,0.9333333333333333,5.6,5,5,1.6,0.5,1,5,1.0
