idx,persona_text,age,source_config,strict_reject_reasons,llm_label,llm_confidence,llm_reason,age_refined,age_refine_confidence,age_refine_reason
20940,A 3-year-old child who struggles with articulation and speech sound production,3.0,persona,[],yes,100,"The persona is a 3-year-old child, which falls within the age range for preschool or kindergarten, a level of primary education.",3.0,,
91607,a 10-year-old kid who has learned little programming,10.0,persona,[],yes,100,age 10 is within primary school range,10.0,,
114691,A kindergartener who enjoys stories about knights and castles,5.0,persona,[],yes,100,Persona is explicitly described as a kindergartener,5.0,,
188138,A curious primary school student from France.,8.0,persona,[],yes,100,Persona is explicitly described as a primary school student,8.0,,
193984,An elementary school student working on a community recycling project for a school fair,8.0,persona,[],yes,100,Explicitly described as an elementary school student,8.0,,
56979,A elementary school student on the student council who voices peers' concerns about playground safety,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student,8.0,,
94395,A 6-year-old child with a curious mind and a willingness to participate in cognitive development studies,6.0,persona,[],yes,100,Age 6 is within primary school range,6.0,,
195347,A shy elementary school student struggling to pronounce certain sounds correctly,8.0,persona,[],yes,100,explicitly described as an elementary school student,8.0,,
373,A 10-year-old schoolboy who lives in Nigeria,10.0,persona,[],yes,100,Age 10 is within primary school range,10.0,,
39019,An elementary school student who prefers reading traditional storybooks over digital ones,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student,8.0,,
76805,A primary school student who loves learning new healthy recipes to cook at home,8.0,persona,[],yes,100,Persona explicitly describes themselves as a primary school student,8.0,,
120494,A9-year-old child who greatly enjoys the storytelling events and wants to become a writer,9.0,persona,[],yes,100,"The persona is a 9-year-old child, which falls within the primary school age range.",9.0,,
137880,An 11-year-old child obsessed with astronomy,11.0,persona,[],yes,100,age 11 is within primary school range,11.0,,
144809,An elementary school student who helps in the garden and listens to stories of classic literature,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student,8.0,,
21075,A curious and energetic preschooler who loves participating in gym class activities,3.0,persona,[],yes,100,Persona is described as a preschooler,3.0,,
48519,A fellow elementary school student who is fascinated by birds and enjoys drawing them,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student,8.0,,
103434,A struggling reader in elementary school who looks up to the reading specialist as a mentor,8.0,persona,[],yes,100,Explicitly mentioned as an elementary school student,8.0,,
107127,A 5-year-old child who was born with a cleft lip and palate and is undergoing speech therapy to improve his articulation,5.0,persona,[],yes,100,"Age 5 is typical for kindergarten or preschool, which is a primary school level",5.0,,
190020,Inquisitive 5 year old child,5.0,persona,[],yes,100,age 5 is typical for kindergarten or preschool,5.0,,
69941,A third-grade student who benefits from the integrated lesson plans and develops a love for reading and writing,,persona,[],yes,100,Third-grade student indicates primary school attendance,8.0,80,"third-grade student, typical age range for third grade is 8-9 years old"
157768,A toddler who giggles and dances along to the catchy jingles and stories from children's podcasts,,persona,[],yes,90,Toddler likely attends preschool or kindergarten,3.0,80,"Persona described as a toddler, which is consistent with early childhood development"
183033,A curious and engaged 5th grader who loves hearing stories about historical figures,,persona,[],yes,100,5th grade is typically part of elementary/primary education,10.0,80,"5th grader implies age around 10, consistent with primary education"
25475,A ten years old kid from New York City who likes fun facts about different cultures,,persona,[],yes,100,age 10 is within primary school range,10.0,100,Persona explicitly states 'ten years old'
197774,A young child who eagerly awaits the toy reviewer's latest video to discover new toys to add to their collection,,persona,[],yes,90,young child awaiting toy reviewer's video,8.0,60,inferred as a young child in primary regime
47972,A young child who dreams of becoming a professional snowmobiler and is just starting to learn how to ride,,persona,[],yes,90,young child just starting to learn a new skill,7.0,80,young child and just starting to learn how to ride implies early primary school age
87624,A young child who dreams of being a roller coaster designer and asks the ride operator endless questions about the rides,,persona,[],yes,90,described as a young child,10.0,80,"young child, primary regime, and curiosity about rides imply a typical primary school age"
94732,A young reader who owns every book written by the children's book author,,persona,[],yes,80,"owns children's books, implies young age",10.0,80,inference based on being a young reader and interest in children's books
116654,A history enthusiast grade schooler who loves reading Sherlock Holmes,,persona,[],yes,90,grade schooler indicates primary school level,10.0,80,"grade schooler implies primary education, consistent with age 10"
182053,"A young student fascinated by Viking folklore and history, using the author's work as a reference for a school project",,persona,[],yes,90,"The persona is described as a young student working on a school project, which suggests they are likely in primary school.",10.0,80,young student and school project imply primary education
35522,A young child who is fascinated by toys and loves hearing stories about the history of Hector toys,,persona,[],yes,90,Persona describes a young child with interests typical of a primary school age,7.0,80,young child and fascination with toys implies primary school age
154696,A nine-year-old girl struggling with reading comprehension but shows great enthusiasm for learning.,,persona,[],yes,100,age and educational challenges are consistent with primary school,9.0,100,Explicitly stated as 'a nine-year-old girl'
53415,A young child who just received their first bike and looks up to the retired cyclist as a mentor,,persona,[],yes,90,"young child with a new bike, implies early childhood",6.0,80,"young child and recently received first bike, consistent with early primary school age"
81949,A motivated 5th grader with a keen interest in computer games and often helps peers with math problems,,persona,[],yes,100,5th grade is typically part of elementary/primary education,10.0,80,"5th grader implies age around 10, consistent with primary education"
106533,A creative and imaginative fifth grader who loves to help design and decorate the reading spaces,,persona,[],yes,100,Fifth grader indicates elementary school attendance,10.0,80,"fifth grader implies age around 10, consistent with primary education"
100949,A lively ten-year-old who adores reading and regularly reviews books on her YouTube channel,,persona,[],yes,100,age 10 is within primary school range,10.0,100,explicitly stated as 'ten-year-old'
159237,A young child who is fascinated by the flight attendant's safety instructions and offers of snacks,,persona,[],yes,90,behaviors and interests suggest a young child,7.0,80,young child implies primary school age
75089,A young child in the neighborhood who admires the tailgate party host and dreams of becoming a Vikings player,,persona,[],yes,80,young child,10.0,80,"young child in the neighborhood, implies elementary school age"
120229,an aspiring child-chef who participated in the first season of MasterChef Junior (Brazil).,,persona,[],yes,95,MasterChef Junior typically features children in the primary school age range,10.0,80,"MasterChef Junior participants are typically between 8-13 years old, but given the 'primary' regime and the fact that it's the first season, the age is likely on the lower end of the spectrum."
154946,A young child who visits her older neighbors to bring them drawings and share stories,,persona,[],yes,90,"behaviors typical of a young child, likely in preschool or early elementary school",7.0,80,young child and primary regime implies elementary school age
127108,A young child who brings their injured pet to the veterinarian for care,,persona,[],yes,80,young child likely in primary school age range,8.0,60,"inferred as a young child in primary education, likely in the age range of a primary school student"
115385,A young child who eagerly awaits the mail carrier's arrival and helps shovel the pathway to their mailbox,,persona,[],yes,90,behaviors described are typical of a young child,8.0,80,"young child, helps with shoveling, implies elementary school age"
179600,A young child who is fascinated by the janitor's mop and bucket and considers them a superhero,,persona,[],yes,90,The persona describes a young child with a fascination typical of a primary school age child,6.0,80,young child and fascination with mundane objects is consistent with early primary school age
52812,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,,persona,[],yes,100,third-grader indicates primary school attendance,8.0,90,"third-grader implies age around 8-9, which is consistent with primary education"
