idx,persona_text,source_config,age,is_excluded,llm_label,llm_confidence,llm_reason,edu_group
183033,A curious and engaged 5th grader who loves hearing stories about historical figures,persona,10.0,False,yes,100,5th grade is typically part of elementary/primary education,primary
70724,A young student who looks forward to garden club meetings for the delicious homemade snacks,persona,7.0,False,yes,80,"participation in garden club and mention of snacks suggests a young student, likely in primary school",primary
39710,A young child with a rare eye condition who looks up to the visually impaired individual and finds comfort in their shared experiences,persona,5.0,False,yes,80,"The persona is described as a 'young child', implying an age range consistent with primary school attendance.",primary
198490,A younger sibling who seeks assistance with reading and writing because of dyslexia,persona,6.0,False,yes,90,Seeking assistance with reading and writing due to dyslexia is common in primary school age,primary
48519,A fellow elementary school student who is fascinated by birds and enjoys drawing them,persona,8.0,False,yes,100,Persona is explicitly described as an elementary school student,primary
39308,I am a child who just learned about flies in school and is eager to share my newfound knowledge with friends.,persona,5.0,False,yes,90,Persona describes learning in school and is referred to as a child,primary
194839,A young child from the favela with dreams of becoming a doctor one day,persona,5.0,False,yes,80,young child implies primary school age,primary
3043,A young child who looks forward to their visits and sees them as a source of love and wisdom,persona,5.0,False,yes,80,young child implies primary school age,primary
184388,A young child who eagerly awaits the retired baker's delicious pancakes,persona,5.0,False,yes,80,young child,primary
14165,A young child who looks up to the marathon enthusiast and is inspired to participate in charity runs,persona,5.0,False,yes,80,young child,primary
172307,A young student who often comes over to borrow books and asks for recommendations for their school projects,persona,7.0,False,yes,90,"borrows books and asks for recommendations for school projects, indicating a student likely in primary school",primary
79323,A young child who loves playing with dollhouses and wants to learn more about architecture,persona,5.0,False,yes,90,interests and play style typical of a primary school age child,primary
151063,A curious and artistic child who enjoys sketching and exploring different natural landscapes,persona,5.0,False,yes,90,describes a child with interests typical of a primary school age,primary
37956,A compassionate student who volunteers to disinfect the classroom to protect the child's health,persona,5.0,False,yes,90,"volunteers to disinfect the classroom, implies a young student taking care of their own classroom",primary
175696,A curious 7-year-old who loves reading and immerses herself in the vibrant world of picture books,persona,7.0,False,yes,100,Age 7 is typical for primary school,primary
196925,A dyslexic child whose life has been positively impacted by the neuroscientist's research and advocacy,persona,5.0,False,yes,90,"The persona is described as a child, implying they are likely of primary school age.",primary
31340,"A young child enrolled in a language immersion program, providing valuable firsthand insights for their research",persona,5.0,False,yes,90,"young child enrolled in a program, likely primary school age",primary
79009,A local elementary school student who is part of a gardening club and looks up to the urban gardening enthusiast as a mentor,persona,8.0,False,yes,100,Persona is described as an elementary school student,primary
114691,A kindergartener who enjoys stories about knights and castles,persona,5.0,False,yes,100,Persona is explicitly described as a kindergartener,primary
63623,"A shy, introverted child who is initially intimidated by physical activities",persona,5.0,False,yes,80,description of a child with characteristics typical of a primary school student,primary
182307,"A young, energetic child who is beginning to explore educational apps and games on a tablet",persona,5.0,False,yes,90,"young and energetic child exploring educational apps, likely in primary school age range",primary
54271,A young child who looks up to the muralist and finds inspiration in their colorful creations,persona,5.0,False,yes,80,young child implies primary school age,primary
39019,An elementary school student who prefers reading traditional storybooks over digital ones,persona,8.0,False,yes,100,Persona is explicitly described as an elementary school student,primary
113074,A picky eater child who struggles with food preferences and texture sensitivity,persona,5.0,False,yes,80,description of a child with common issues associated with young age,primary
120050,A young child with a vivid imagination and a love for building fairy gardens,persona,5.0,False,yes,90,young child with interests typical of primary school age,primary
20940,A 3-year-old child who struggles with articulation and speech sound production,persona,3.0,False,yes,100,"The persona is a 3-year-old child, which corresponds to preschool age.",primary
73610,A young child with a sweet tooth who always looks forward to getting an ice cream from the van,persona,5.0,False,yes,90,behaviors and preferences consistent with a young child,primary
159672,A young child who is eager to learn how to ride a bike and stay safe on the roads,persona,5.0,False,yes,90,"young child learning to ride a bike, typical activity for primary school age",primary
132076,A child with speech delay whose progress is being monitored as part of the study,persona,5.0,False,yes,80,"child with speech delay, likely in early education",primary
133084,A young child who dreams of becoming an RC car racer and looks up to the shop owner as a mentor,persona,5.0,False,yes,90,young child implies primary school age,primary
40057,A young nephew who has just discovered the joy of reading and seeks book recommendations from their librarian aunt,persona,8.0,False,yes,90,"The persona is described as a 'young nephew' who has just discovered reading, suggesting an early school age.",primary
78005,A bright and curious child who thrives in learning new languages and enjoys creative writing,persona,5.0,False,yes,80,"enjoys creative writing and learning new languages, typical of a primary school student",primary
15516,A young child who has lost everything in a natural disaster and relies on the humanitarian worker for support and hope,persona,5.0,False,yes,80,young child implies primary school age,primary
70526,A young child fascinated by the tales of mountains and dreams of becoming a mountaineer,persona,5.0,False,yes,80,young child implies primary school age,primary
144282,An elementary school student who looks forward to watching the weather report every day,persona,8.0,False,yes,100,Persona is explicitly described as an elementary school student,primary
39734,A young child with cerebral palsy who is determined to learn how to walk independently,persona,5.0,False,yes,90,young child implies primary school age and educational level,primary
121493,A curious and empathetic child who becomes the designated first aider in their friend group,persona,5.0,False,yes,90,designated first aider in friend group implies a young child in a primary school setting,primary
180188,A young child who is captivated by the fire performer's performance and dreams of becoming an entertainer,persona,5.0,False,yes,80,young child implies primary school age,primary
