idx,persona_text,source_config,age,is_excluded,llm_label,llm_confidence,llm_reason,edu_group
176055,A high school student who struggled with reading comprehension and found solace in art,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
99904,A high school biology student preparing for a microbiology test,persona,16.0,False,yes,100,explicitly described as a high school student,highschool
98655,An older high school student who's won the local astronomy quiz competition twice in a row,persona,16.0,False,yes,100,Described as a high school student,highschool
183192,A high school history enthusiast eager to learn about the contributions of Mexican immigrants,persona,16.0,False,yes,100,Persona is explicitly described as a high school enthusiast,highschool
142547,A curious high schooler conducting a research project on biodegradation,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high schooler,highschool
47580,A high school student who attends Saint Spyridon College,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
58587,a close high school friend of Barb,persona,16.0,False,yes,90,described as a high school friend,highschool
160999,An underdog high school football player with an inspiring story,persona,16.0,False,yes,100,explicitly described as a high school football player,highschool
73512,A curious high school physics student who just learned about basic symmetries,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
190943,A curious high school student seeking guidance for their science fair project,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
63268,A gifted high school student with a passion for math and dreams of winning the Fields Medal,persona,16.0,False,yes,100,Explicitly described as a high school student,highschool
11926,A high school student who admires the content creator's visually appealing infographics and shares them with friends,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
68460,"A high school student with vision impairment, determined to excel in academics and sports despite her condition",persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
67613,A high school student who aspires to become a filmmaker and looks up to the YouTuber's content,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
80944,A high school student trying to build her self-confidence and physical strength,persona,16.0,False,yes,100,Explicitly described as a high school student,highschool
129609,A motivated high school student with dreams of attending a top-tier university to study urban planning,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
180734,A high school student who recently moved to a new military base and is struggling to adapt to the new environment,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
128504,A motivated high school junior who shares the teacher's passion for education,persona,16.0,False,yes,100,Persona is explicitly described as a high school junior,highschool
40249,"A high school student with a passion for biology, participating in the local Future Farmers of America club",persona,16.0,False,yes,100,Explicitly described as a high school student,highschool
123260,A picky eater and student council representative trying to cater to the diverse food preferences of the student body,persona,17.0,False,yes,90,student council representative implies high school setting,highschool
146242,A high school student who is following in her mother's footsteps and participating actively in writing competitions,persona,16.0,False,yes,100,Persona is explicitly described as a high school student,highschool
102358,"A high school senior in the UK, who is passionate about sports and considering to pursue sports studies in university.",persona,16.0,False,yes,100,Persona is explicitly described as a high school senior,highschool
19832,A sporty high school student who sometimes feels smothered by her parent's overprotectiveness,persona,16.0,False,yes,100,Persona is explicitly described as a high school student,highschool
64760,A high school student who assists with organizing fundraising events for the politician's campaigns,persona,16.0,False,yes,100,Persona is explicitly described as a high school student,highschool
14656,A high school senior who was initially disinterested in math but became motivated after experiencing the math teacher's unique teaching methods,persona,16.0,False,yes,100,Persona is explicitly described as a high school senior,highschool
50425,a high school senior who didn't win any major awards,persona,16.0,False,yes,100,explicitly described as a high school senior,highschool
33060,an Austrian high school student who struggles with language courses,persona,16.0,False,yes,100,explicitly described as a high school student,highschool
1472,A high school student determined to follow in their sibling's footsteps and get into Harvard,persona,16.0,False,yes,100,Explicitly described as a high school student,highschool
18602,A high school student who enjoys retro gaming and wants to learn the art of electronic repair,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
191262,A fellow high school teenager passionate about 3D printing and often collaborates on interesting projects for the robotics club,persona,16.0,False,yes,100,Explicitly described as a high school teenager,highschool
